Vertices        Edge Percentage Edges           Maximum Clique                                     Maximum Clique Size            Operations      Attempts        Time           
100             0.5             2475            [0,1,7,11,15,57]                                   6                              100             100             0.0            
100             0.75            3712            [0,1,3,36,70,7,13,15,16,81,22]                     11                             100             100             0.0            
101             0.125           631             [0,41,2]                                           3                              101             101             0.0            
101             0.25            1262            [0,5,23]                                           3                              101             101             0.0            
101             0.5             2525            [0,1,39,13,14,89,26]                               7                              101             101             0.0            
101             0.75            3787            [0,1,3,6,8,12,16,18,24,58,92,63]                   12                             101             101             0.0            
102             0.125           643             [0,28]                                             2                              102             102             0.0            
102             0.25            1287            [0,8,4,25]                                         4                              102             102             0.0            
102             0.5             2575            [0,2,6,42,24,25]                                   6                              102             102             0.0            
102             0.75            3863            [0,2,3,4,5,16,17,80,20,84,22,60]                   12                             102             102             0.0010042190551757812
103             0.125           656             [0,12]                                             2                              103             103             0.0            
103             0.25            1313            [0,1,73,13,17]                                     5                              103             103             0.0            
103             0.5             2626            [0,35,3,4,74,21,59]                                7                              103             103             0.0            
103             0.75            3939            [0,1,2,3,101,6,8,9,41,79,18]                       11                             103             103             0.0            
