Vertices        Edge Percentage Edges           Maximum Clique                                     Maximum Clique Size            Operations      Attempts        Time           
85              0.75            2677            [28,84,0,55,7,57,15,23,13]                         9                              5007            414             0.01907658576965332
86              0.125           456             [75,10,66]                                         3                              5001            1278            0.020731449127197266
86              0.25            913             [4,66,13]                                          3                              5001            1203            0.021071910858154297
86              0.5             1827            [50,78,80,74,40]                                   5                              5001            775             0.017527103424072266
86              0.75            2741            [50,46,25,36,47,41,49,29,64]                       9                              5018            422             0.02058577537536621
87              0.125           467             [47,10,82]                                         3                              5000            1254            0.01981353759765625
87              0.25            935             [58,84,77]                                         3                              5003            1205            0.019999980926513672
87              0.5             1870            [70,18,55,11,51,34,44]                             7                              5002            732             0.017999649047851562
87              0.75            2805            [79,26,60,0,74,58,1,72,45,42]                      10                             5006            369             0.018681764602661133
88              0.125           478             [35,62,44]                                         3                              5000            1253            0.021025896072387695
88              0.25            957             [70,20,17,53]                                      4                              5001            964             0.019589662551879883
88              0.5             1914            [23,71,60,44,0]                                    5                              5002            757             0.018704652786254883
88              0.75            2871            [54,79,67,17,53,19,41,86,14]                       9                              5000            424             0.019009113311767578
89              0.125           489             [1,59,69]                                          3                              5003            1285            0.021475791931152344
89              0.25            979             [26,8,66]                                          3                              5003            1200            0.02000117301940918
89              0.5             1958            [70,21,74,67,52,57]                                6                              5005            722             0.018592119216918945
89              0.75            2937            [54,79,60,33,2,8,76,49,29]                         9                              5006            405             0.0197906494140625
90              0.125           500             [32,82,56]                                         3                              5003            1241            0.019539594650268555
90              0.25            1001            [37,1,49,44]                                       4                              5000            1091            0.019563674926757812
90              0.5             2002            [28,18,48,73,24]                                   5                              5004            769             0.01811051368713379
90              0.75            3003            [54,50,79,26,33,65,78,40,16,13]                    10                             5006            377             0.01991748809814453
91              0.125           511             [43,78,69]                                         3                              5002            1304            0.021004438400268555
