Vertices        Edge Percentage Edges           Maximum Clique                                     Maximum Clique Size            Operations      Attempts        Time           
64              0.75            1512            [11,42,25,22,6,19,53,10,2]                         9                              1007            82              0.0030014514923095703
65              0.125           260             [43,54,35]                                         3                              1001            248             0.004998445510864258
65              0.25            520             [13,11,60]                                         3                              1000            230             0.0040013790130615234
65              0.5             1040            [39,29,23,24,20]                                   5                              1004            147             0.002999544143676758
65              0.75            1560            [26,4,59,36,3,31,51,56,22,53]                      10                             1016            73              0.003998756408691406
66              0.125           268             [11,14,51]                                         3                              1001            238             0.003999948501586914
66              0.25            536             [19,36,64,0]                                       4                              1002            183             0.003999948501586914
66              0.5             1072            [11,29,3,37,58]                                    5                              1004            144             0.004000186920166016
66              0.75            1608            [43,39,15,60,57,8,3,50]                            8                              1003            81              0.0039997100830078125
67              0.125           276             [64,40,4]                                          3                              1001            237             0.004000186920166016
67              0.25            552             [18,17,59]                                         3                              1001            230             0.0040035247802734375
67              0.5             1105            [4,5,51,48,16,14]                                  6                              1009            124             0.004000663757324219
67              0.75            1658            [5,8,41,25,48,0,18,57,19,24]                       10                             1001            80              0.003999233245849609
68              0.125           284             [56,26,54]                                         3                              1003            237             0.004041910171508789
68              0.25            569             [26,14,1]                                          3                              1003            232             0.004000663757324219
68              0.5             1139            [1,6,16,31,32]                                     5                              1001            147             0.003998279571533203
68              0.75            1708            [19,59,5,43,27,30,47,34,28]                        9                              1001            81              0.0039997100830078125
69              0.125           293             [56,42]                                            2                              1002            273             0.0039997100830078125
69              0.25            586             [19,26,55,64]                                      4                              1000            183             0.004000425338745117
69              0.5             1173            [19,29,12,44,48]                                   5                              1005            146             0.003999233245849609
69              0.75            1759            [4,60,55,11,29,62,6,12,64]                         9                              1002            78              0.003999948501586914
70              0.125           301             [68,12,23]                                         3                              1001            261             0.004000663757324219
70              0.25            603             [24,48,17]                                         3                              1000            229             0.006000041961669922
70              0.5             1207            [59,54,8,25,67]                                    5                              1000            147             0.003999948501586914
70              0.75            1811            [59,60,23,65,10,18,32,40]                          8                              1006            80              0.00400090217590332
71              0.125           310             [4,39,56]                                          3                              1002            246             0.0039980411529541016
71              0.25            621             [56,68,10]                                         3                              1000            223             0.004002094268798828
71              0.5             1242            [11,55,36,44,51]                                   5                              1009            158             0.003999948501586914
71              0.75            1863            [4,15,26,36,64,48,21,20,6,24,12]                   11                             1000            72              0.003998517990112305
72              0.125           319             [60,61]                                            2                              1000            265             0.004999876022338867
72              0.25            639             [33,4,38]                                          3                              1003            233             0.0039997100830078125
72              0.5             1278            [0,5,14,24,43,54]                                  6                              1001            124             0.004001140594482422
72              0.75            1917            [19,59,22,43,23,5,13,46]                           8                              1017            81              0.003999233245849609
73              0.125           328             [15,9,0]                                           3                              1003            261             0.004999399185180664
73              0.25            657             [43,18,17,25]                                      4                              1006            214             0.004004001617431641
73              0.5             1314            [59,60,57,30,41,46]                                6                              1001            115             0.0039997100830078125
73              0.75            1971            [23,36,3,51,21,57,67,19,32]                        9                              1000            81              0.004000186920166016
74              0.125           337             [18,64,41]                                         3                              1000            248             0.004074573516845703
74              0.25            675             [55,20,31,67]                                      4                              1000            215             0.003998756408691406
74              0.5             1350            [2,3,6,11,19,40,44]                                7                              1000            117             0.00400090217590332
74              0.75            2025            [39,59,24,21,3,33,2,64]                            8                              1000            79              0.003999471664428711
75              0.125           346             [43,18,60]                                         3                              1000            234             0.003999471664428711
75              0.25            693             [68,72,15]                                         3                              1000            229             0.004000186920166016
75              0.5             1387            [4,23,8,71,42,48]                                  6                              1002            123             0.004000425338745117
75              0.75            2081            [11,59,36,68,44,48,13,70,69,34]                    10                             1001            67              0.00400090217590332
76              0.125           356             [18,66,27]                                         3                              1003            242             0.003998994827270508
76              0.25            712             [32,27,41]                                         3                              1002            232             0.004000186920166016
76              0.5             1425            [11,60,45,1,47,51]                                 6                              1006            127             0.0039997100830078125
76              0.75            2137            [0,3,5,11,17,19,27,41,54,55,74]                    11                             1005            75              0.003999948501586914
77              0.125           365             [43,2,28]                                          3                              1002            234             0.003999948501586914
77              0.25            731             [45,24,61]                                         3                              1002            226             0.003999471664428711
77              0.5             1463            [55,68,6,44,73]                                    5                              1002            152             0.003999948501586914
77              0.75            2194            [4,26,5,23,3,51,76,18,13,10]                       10                             1003            73              0.00400090217590332
78              0.125           375             [4,47,39]                                          3                              1003            237             0.0040018558502197266
78              0.25            750             [33,20,19]                                         3                              1003            229             0.003999948501586914
78              0.5             1501            [22,29,54,2,64]                                    5                              1003            143             0.003999948501586914
78              0.75            2252            [4,5,8,31,44,73,21,7,27,38]                        10                             1003            80              0.003998279571533203
79              0.125           385             [22,55]                                            2                              1004            267             0.003999471664428711
79              0.25            770             [63,14,21]                                         3                              1003            232             0.004005908966064453
79              0.5             1540            [4,62,20,77,2]                                     5                              1003            145             0.003997802734375
79              0.75            2310            [56,65,62,54,3,38,61,73,72]                        9                              1016            82              0.004000663757324219
80              0.125           395             [39,45,64]                                         3                              1003            235             0.004000186920166016
80              0.25            790             [37,18,15,71]                                      4                              1004            215             0.0045087337493896484
80              0.5             1580            [4,5,39,57,38]                                     5                              1000            142             0.0039997100830078125
80              0.75            2370            [0,1,4,7,9,12,27,29,47,51,77]                      11                             1008            73              0.00400233268737793
81              0.125           405             [4,18,76]                                          3                              1003            235             0.0039975643157958984
81              0.25            810             [59,60,52,28]                                      4                              1000            176             0.004000425338745117
81              0.5             1620            [7,41,79,42,0]                                     5                              1000            145             0.0030012130737304688
81              0.75            2430            [26,23,18,3,8,47,80,78,52,64]                      10                             1006            81              0.0049991607666015625
82              0.125           415             [80,70,34]                                         3                              1000            237             0.0039997100830078125
82              0.25            830             [33,57,62]                                         3                              1000            225             0.0039997100830078125
82              0.5             1660            [70,24,54,12,78]                                   5                              1001            145             0.003999948501586914
82              0.75            2490            [4,79,42,73,49,39,12,37,53]                        9                              1001            80              0.004002809524536133
83              0.125           425             [26,28,53]                                         3                              1000            235             0.003998279571533203
83              0.25            850             [50,15,67]                                         3                              1000            229             0.003999948501586914
83              0.5             1701            [26,19,15,42,51]                                   5                              1001            145             0.004001140594482422
83              0.75            2552            [15,8,44,40,27,45,52,19,39]                        9                              1001            79              0.003998279571533203
84              0.125           435             [13,39,15]                                         3                              1002            234             0.003999948501586914
84              0.25            871             [0,19,36,57]                                       4                              1003            182             0.004000425338745117
84              0.5             1743            [43,60,15,40,54]                                   5                              1003            146             0.0040018558502197266
84              0.75            2614            [11,71,41,25,2,39,55,32,12]                        9                              1003            84              0.003998279571533203
85              0.125           446             [10,12,14]                                         3                              1000            250             0.0040018558502197266
85              0.25            892             [38,37,8]                                          3                              1002            222             0.004997968673706055
85              0.5             1785            [5,23,80,72,0]                                     5                              1003            145             0.003006458282470703
85              0.75            2677            [19,29,72,3,8,16,12,73,63]                         9                              1004            78              0.0049970149993896484
86              0.125           456             [21,55,30]                                         3                              1003            235             0.004002571105957031
86              0.25            913             [4,63,0]                                           3                              1003            224             0.0029969215393066406
86              0.5             1827            [11,55,23,72,47]                                   5                              1004            149             0.004509449005126953
86              0.75            2741            [4,23,47,76,28,45,78,29,24]                        9                              1004            76              0.005002498626708984
